recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.75
ma-la-chicken	7.242588778272628	0.5
quesadillas	7.230044218118725	0.5
ramen	7.236198644617443	0.5
pain-au-chocolat	6.978816532083949	0.5
spamburger	6.966345104838915	0.25
chocolate-babka	6.956754401185355	1.0
bacon-fried-rice	6.980271985590568	0.0
nacho-fries	6.7479208378563555	0.5
cranberry-sauce	6.690711251762375	0.75
asparagus-burger	6.565075857622455	0.5
strawberry-rhubarb-crisp	6.5164729039061795	1.0
apple-pie	6.415554513085282	1.0
asparagus-quiche	6.3886205095410356	0.5
guacamole	6.350193660380971	0.5
bacon-wrapped-asparagus	6.296674274250884	0.0
brioche-bread	6.269654087456083	0.5
cold-noodles-with-tomatoes	6.213317534166208	0.5
tamales	6.13720779682612	0.5
dan-dan-noodles	6.110504334139263	0.5
cranberry-apple-crisp	6.04761712927878	1.0
mushroom-quiche	6.015047248419785	0.5
taco-salad	6.006528747918002	0.5
chicken-nuggets	5.881590278941338	0.5
bacon-wrapped-chicken	5.772278036594732	0.0
croissants	5.688079207377291	0.5
fajitas	5.650762534561824	0.5
spam-musubi	5.649802813540794	0.25
chocolate-peanut-butter-cake	5.613942753745707	1.0
tacos	5.605341935286159	0.5
apple-crisp	5.569911971373377	1.0
bacon-mac-and-cheese	5.543954643459849	0.0
croissant-aux-amandes	5.426794102698072	0.5
cherry-pie	5.414422938518562	1.0
sujebi	5.408938993545538	0.5
danishes	5.3701427852602635	0.5
souffle	5.371855621951896	0.5
nacho-salad	5.326845743305547	0.5
bacon-wrapped-shrimp-skewers	5.264319909169716	0.0
vanilla-souffle	5.247547037423847	0.5
spinach-quiche	5.1649813747212665	0.5
enchiladas	5.1128932034602	0.5
brownies	5.102858806473684	1.0
soba-noodle-salad-with-peanut-dressing	5.09968756845577	0.5
nachos	5.066831168400143	0.5
brioche-bread-with-chocolate	5.059317633535371	1.0
spinach-and-ricotta-lasagna	4.996879424665738	0.5
peanut-butter-cupcakes	4.996129697219524	1.0
loaded-nachos	4.981230689136819	0.5
quiche-lorraine	4.961361420900031	0.0
peach-crisp	4.935772707685999	1.0
breakfast-burritos	4.84492088880189	0.0
ma-la-beef	4.794038456643675	0.5
udon	4.733588606210359	0.5
pickled-green-beans	4.729443790765165	0.5
cranberry-relish	4.712988012003331	0.75
bolognese-sauce	4.666533379301233	0.5
almond-chip-cookies	4.608445045582371	1.0
chiles-rellenos	4.595752665303177	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.588443109329923	0.5
cold-sesame-noodles	4.5705055254194376	0.5
tempura-udon	4.567504764049741	0.5
berry-crisp	4.53988433806383	1.0
burritos	4.521619712631139	0.5
chicken-fingers	4.515444783241394	0.5
peach-cobbler	4.474087215895535	0.75
falafel	4.470599010864602	0.5
chicken-alfredo-lasagna	4.463146532841499	0.5
maple-bacon-donuts	4.431985435871239	0.0
almond-croissants	4.422464476865561	0.5
spinach-and-feta-quiche	4.385075545900048	0.5
fried-oysters	4.378015068770067	0.5
bacon-egg-muffins	4.325852752899949	0.0
pico-de-gallo	4.315492587677947	0.5
bacon-wrapped-scallops	4.202760277444796	0.0
nacho-dip	4.159320751949512	0.5
blueberry-crisp	4.127054527567588	1.0
nacho-casserole	4.104211810250018	0.5
chocolate-cake	4.090067146815552	1.0
classic-beef-lasagna	4.087855274130284	0.5
pickled-asparagus	4.072885827331322	0.5
french-toast	4.045422526784947	0.5
bacon-and-egg-breakfast-sandwich	4.0413971185314495	0.0
chocolate-croissants	3.9867552855474315	1.0
pasta-primavera	3.9521110757705067	0.5
cherry-cobbler	3.942920290616705	0.5
peanut-butter-brownies	3.895018004721712	1.0
bacon-chocolate-chip-cookies	3.8476659264445443	0.0
maple-bacon-pancakes	3.684661002788759	0.0
bacon-wrapped-dates	3.6124970298922228	0.0
lasagna	3.6048236305587875	0.5
blueberry-crumble	3.5906260824504614	0.75
cinnamon-babka	3.5334651427677386	0.5
vegetarian-mushroom-lasagna	3.3402428869422685	0.5
chocolate-souffle	3.312567805585795	1.0
berry-crumble	3.215371526327793	0.75
spinach-and-ricotta-stuffed-shells	3.146470704853038	0.5
butter-croissants	2.9706119917848115	0.5
strawberry-rhubarb-crisp	2.834439472263859	1.0
chocolate-babka	2.8314862298510635	1.0
